tag,test_name,test_time,preset_picture,video,mdd,abc,lux,qs,watts,nits,APL',waketime
2.1,stabilization1,600.0,aps,sdr,off,off,,,3.3788973116,1.69082651061,34.4563333333,
2.2,stabilization2,600.0,aps,sdr,off,off,,,2.43627180668,1.21485168524,34.4563333333,
7.0,default,600.0,aps,sdr,off,off,,,2.98538825573,1.4911350596,34.4563333333,
8.0,default_100,600.0,aps,sdr,off,on,100.0,,3.00315996784,1.49971553563,34.4563333333,
9.0,default_35,600.0,aps,sdr,off,on,35.0,,2.99545526752,1.49410680644,34.4563333333,
10.0,default_12,600.0,aps,sdr,off,on,12.0,,2.99158221338,1.49575588063,34.4563333333,
11.0,default_3,600.0,aps,sdr,off,on,3.0,,3.00635898861,1.50593026743,34.4563333333,
12.0,brightest,600.0,vivid,sdr,off,off,,,3.59442407369,1.80112103799,34.4563333333,
13.0,brightest_100,600.0,vivid,sdr,off,on,100.0,,3.61409667699,1.80324624304,34.4563333333,
14.0,brightest_35,600.0,vivid,sdr,off,on,35.0,,3.59296950028,1.794973253,34.4563333333,
15.0,brightest_12,600.0,vivid,sdr,off,on,12.0,,3.60591719966,1.80050834884,34.4563333333,
16.0,brightest_3,600.0,vivid,sdr,off,on,3.0,,3.60328474689,1.80530635225,34.4563333333,
17.0,hdr10,300.0,standard,clasp_hdr,off,off,,,3.89226803858,1.95189442651,28.6786666667,
18.0,hdr10_100,300.0,standard,clasp_hdr,off,on,100.0,,3.88487633072,1.94862257461,28.6786666667,
19.0,hdr10_35,300.0,standard,clasp_hdr,off,on,35.0,,3.91883083513,1.95252531213,28.6786666667,
20.0,hdr10_12,300.0,standard,clasp_hdr,off,on,12.0,,3.89096944905,1.93860741696,28.6786666667,
21.0,hdr10_3,300.0,standard,clasp_hdr,off,on,3.0,,3.90974293211,1.96095814354,28.6786666667,
22.0,standby,2400.0,,,,,,off,3.85532606206,1.93203101423,0.0,9.0
24.0,standby_echo,2400.0,,,,,,oob,2.49060911211,1.24572548506,0.0,9.0
26.0,standby_google,2400.0,,,,,,oob,3.14460118995,1.57213096244,0.0,9.0
