#Config,,,
Remote name,,,
IR Delay (ms),,,
Macro File,,,
,,,
#Sequence,,,
tag,1,,
user_command,Test Name: ref_ccf_default\nTest Tag: 1\n--------------------------------------------------------------------------------\nInstructions:\n\n* Change the video clip to ccf\n* Change the preset picture setting to aps\n* Change the automatic brightness control (ABC) setting to off\n* Change the motion detection dimming (MDD) setting to off (if applicable)\n* When ready begin the ccf clip and press the OK button when the countdown timer reaches 0.\n\n--------------------------------------------------------------------------------\nThe conditions for the current test should be:\n\n    Video Clip - ccf\n    Preset Picture Setting - aps\n    Automatic Brightness Control (ABC) - Off\n    Backlight Setting - Default Level\n    Motion Detection Dimming (MDD) - Off (if applicable)\n    ccf_pps - default\n,,
ref_ccf,default,,
tag,2,,
user_command,Test Name: screen_config\nTest Tag: 2\n--------------------------------------------------------------------------------\nInstructions:\n\n* Next we will configure the camera for the remaining tests.\n* When ready begin the Dots Pattern clip and press the OK button when the countdown timer reaches 0.\n\n--------------------------------------------------------------------------------\nThe conditions for the current test should be:\n\n    Video Clip - Dots Pattern\n    Preset Picture Setting - aps\n    Automatic Brightness Control (ABC) - Off\n    Backlight Setting - Default Level\n    Motion Detection Dimming (MDD) - Off (if applicable)\n    ccf_pps - default\n,,
screen_config,screen_config,,
tag,3,,
user_command,Test Name: camera_ccf_default\nTest Tag: 3\n--------------------------------------------------------------------------------\nInstructions:\n\n* Change the video clip to ccf\n* When ready begin the ccf clip and press the OK button when the countdown timer reaches 0.\n\n--------------------------------------------------------------------------------\nThe conditions for the current test should be:\n\n    Video Clip - ccf\n    Preset Picture Setting - aps\n    Automatic Brightness Control (ABC) - Off\n    Backlight Setting - Default Level\n    Motion Detection Dimming (MDD) - Off (if applicable)\n    ccf_pps - default\n,,
camera_ccf,default,,
tag,4,,
user_stabilization,Test Name: stabilization\nTest Tag: 4\n--------------------------------------------------------------------------------\nInstructions:\n\n* The following test will be a stabilization test.\n* We will run these continually until we get two consecutive tests with average power within 2% of each other.\n* When ready begin the IEC SDR clip and press the OK button when the countdown timer reaches 0.\n\n--------------------------------------------------------------------------------\nThe conditions for the current test should be:\n\n    Video Clip - IEC SDR\n    Preset Picture Setting - aps\n    Automatic Brightness Control (ABC) - Off\n    Backlight Setting - Default Level\n    Motion Detection Dimming (MDD) - Off (if applicable)\n    ccf_pps - default\n,600.0,6.0
load_ccf,default,,
tag,10 repair,,
user_command,Test Name: default\nTest Tag: 10 repair\nTest Time (seconds): 600\n\n--------------------------------------------------------------------------------\nInstructions:\n\n* When ready begin the IEC SDR clip and press the OK button when the countdown timer reaches 0.\n\n--------------------------------------------------------------------------------\nThe conditions for the current test should be:\n\n    Video Clip - IEC SDR\n    Preset Picture Setting - aps\n    Automatic Brightness Control (ABC) - Off\n    Backlight Setting - Default Level\n    Motion Detection Dimming (MDD) - Off (if applicable)\n    ccf_pps - default\n,,
wait,600.0,,
tag,16 repair,,
user_command,Test Name: standby\nTest Tag: 16 repair\nTest Time (seconds): 2400\n\n--------------------------------------------------------------------------------\nInstructions:\n\n* The next test will be a standby test.\n* Ensure that QuckStart is set to Off (if applicable).\n* Power down the TV using the remote and press the OK button to begin test.,,
wait,2400.0,,
