#Config,,,
Remote name,,,
IR Delay (ms),,,
Macro File,,,
,,,
#Sequence,,,
tag,1,,
user_command,Test Name: ref_ccf_default\nTest Tag: 1\n--------------------------------------------------------------------------------\nInstructions:\n\n* Change the video clip to ccf\n* Change the preset picture setting to standard\n* Change the automatic brightness control (ABC) setting to off\n* When ready begin the ccf clip and press the OK button when the countdown timer reaches 0.\n\n--------------------------------------------------------------------------------\nThe conditions for the current test should be:\n\n    Video Clip - ccf\n    Preset Picture Setting - standard\n    Automatic Brightness Control (ABC) - Off\n    Backlight Setting - Default Level\n    Motion Detection Dimming (MDD) - Off (if applicable)\n,,
ref_ccf,default,,
tag,2,,
user_command,Test Name: ref_ccf_brightest\nTest Tag: 2\n--------------------------------------------------------------------------------\nInstructions:\n\n* Change the preset picture setting to dynamic\n* When ready begin the ccf clip and press the OK button when the countdown timer reaches 0.\n\n--------------------------------------------------------------------------------\nThe conditions for the current test should be:\n\n    Video Clip - ccf\n    Preset Picture Setting - dynamic\n    Automatic Brightness Control (ABC) - Off\n    Backlight Setting - Default Level\n    Motion Detection Dimming (MDD) - Off (if applicable)\n,,
ref_ccf,brightest,,
tag,3,,
user_command,Test Name: screen_config\nTest Tag: 3\n--------------------------------------------------------------------------------\nInstructions:\n\n* Next we will configure the camera for the remaining tests.\n* When ready begin the Dots Pattern clip and press the OK button when the countdown timer reaches 0.\n\n--------------------------------------------------------------------------------\nThe conditions for the current test should be:\n\n    Video Clip - Dots Pattern\n    Preset Picture Setting - standard\n    Automatic Brightness Control (ABC) - Off\n    Backlight Setting - Default Level\n    Motion Detection Dimming (MDD) - Off (if applicable)\n,,
screen_config,screen_config,,
tag,4,,
user_command,Test Name: basler_ccf_default\nTest Tag: 4\n--------------------------------------------------------------------------------\nInstructions:\n\n* Change the video clip to ccf\n* When ready begin the ccf clip and press the OK button when the countdown timer reaches 0.\n\n--------------------------------------------------------------------------------\nThe conditions for the current test should be:\n\n    Video Clip - ccf\n    Preset Picture Setting - standard\n    Automatic Brightness Control (ABC) - Off\n    Backlight Setting - Default Level\n    Motion Detection Dimming (MDD) - Off (if applicable)\n,,
basler_ccf,default,,
tag,5,,
user_command,Test Name: basler_ccf_brightest\nTest Tag: 5\n--------------------------------------------------------------------------------\nInstructions:\n\n* Change the preset picture setting to dynamic\n* When ready begin the ccf clip and press the OK button when the countdown timer reaches 0.\n\n--------------------------------------------------------------------------------\nThe conditions for the current test should be:\n\n    Video Clip - ccf\n    Preset Picture Setting - dynamic\n    Automatic Brightness Control (ABC) - Off\n    Backlight Setting - Default Level\n    Motion Detection Dimming (MDD) - Off (if applicable)\n,,
basler_ccf,brightest,,
tag,6,,
user_stabilization,Test Name: stabilization\nTest Tag: 6\n--------------------------------------------------------------------------------\nInstructions:\n\n* The following test will be a stabilization test.\n* We will run these continually until we get two consecutive tests with average power within 2% of each other.\n* When ready begin the IEC SDR clip and press the OK button when the countdown timer reaches 0.\n\n--------------------------------------------------------------------------------\nThe conditions for the current test should be:\n\n    Video Clip - IEC SDR\n    Preset Picture Setting - standard\n    Automatic Brightness Control (ABC) - Off\n    Backlight Setting - Default Level\n    Motion Detection Dimming (MDD) - Off (if applicable)\n,600.0,6.0
load_ccf,default,,
tag,7,,
user_command,Test Name: default\nTest Tag: 7\nTest Time (seconds): 600\n\n--------------------------------------------------------------------------------\nInstructions:\n\n* When ready begin the IEC SDR clip and press the OK button when the countdown timer reaches 0.\n\n--------------------------------------------------------------------------------\nThe conditions for the current test should be:\n\n    Video Clip - IEC SDR\n    Preset Picture Setting - standard\n    Automatic Brightness Control (ABC) - Off\n    Backlight Setting - Default Level\n    Motion Detection Dimming (MDD) - Off (if applicable)\n,,
wait,600.0,,
tag,8,,
user_command,Test Name: brightest_100\nTest Tag: 8\nTest Time (seconds): 600\n\n--------------------------------------------------------------------------------\nInstructions:\n\n* Change the preset picture setting to dynamic\n* Change the automatic brightness control (ABC) setting to on\n* Adjust the illuminance level to 100 lux\n* When ready begin the IEC SDR clip and press the OK button when the countdown timer reaches 0.\n\n--------------------------------------------------------------------------------\nThe conditions for the current test should be:\n\n    Video Clip - IEC SDR\n    Preset Picture Setting - dynamic\n    Automatic Brightness Control (ABC) - On\n    Backlight Setting - Default Level\n    Illuminance Level (Lux) - 100\n    Motion Detection Dimming (MDD) - Off (if applicable)\n,,
wait,600.0,,
load_ccf,brightest,,
